level,Radio_with_normalized_depth_%
0,28.3333
1,31.7647
2,31.7647
3,31.7647
4,31.6667
5,31.6176
6,31.7647
7,32.1078
8,32.1078
9,32.3039
10,32.2549
11,32.0098
12,32.0098
13,32.7941
14,32.6961
15,32.5980
16,32.6961
17,32.8431
18,33.2353
19,34.3137
20,34.1176
21,33.7255
22,34.9020
23,33.8235
24,33.8235
25,33.0392
26,33.7255
27,33.6765
28,33.0392
29,33.1863
30,33.1373
31,32.6961
32,33.9216
33,33.6765
34,34.2157
35,34.1667
36,33.6765
37,33.5294
38,34.1176
39,34.4608
40,34.5588
41,34.8039
42,35.3431
43,35.7353
44,37.0098
45,37.0588
46,37.6961
47,38.4314
48,38.0882
49,38.1373
50,39.2157
51,40.1961
52,40.3431
53,40.6373
54,40.3431
55,40.2941
56,40.2451
57,40.1471
58,39.6569
59,40.4902
60,41.0784
61,41.2255
62,41.0294
63,41.4706
64,41.5196
65,41.6176
66,41.1765
67,40.9314
68,41.0294
69,41.7157
70,41.5196
71,41.0294
72,42.5000
73,42.1078
74,41.2745
75,42.0098
76,42.4510
77,42.5000
78,40.4412
79,40.7353
80,40.7843
81,40.2941
82,39.2157
83,40.0980
84,39.2157
85,38.8235
86,38.9216
87,38.1863
88,37.5490
89,37.4510
90,37.6471
91,37.0588
92,37.1569
93,36.6176
94,36.6667
95,36.7647
96,36.8137
97,36.6176
98,36.7157
99,36.7157
100,37.1078
101,37.3529
102,38.0392
103,38.6275
104,38.8235
105,38.5784
106,38.5784
107,38.5294
108,38.1863
109,38.1863
110,38.8725
111,38.7745
112,38.3824
113,38.1863
114,38.2843
115,38.7255
116,38.8235
117,38.1863
118,38.4804
119,38.6765
120,38.2353
121,38.5294
122,38.1863
123,37.9412
124,37.8431
125,37.2059
126,37.0098
127,36.9608
128,36.4216
129,36.6176
130,36.0294
131,35.5882
132,35.3431
133,34.7059
134,34.9510
135,35.1471
136,34.2157
137,33.8725
138,32.9902
139,33.3824
140,33.4804
141,32.9412
142,32.2549
143,31.8137
144,31.4216
145,30.3922
146,31.5196
147,31.9608
148,32.2059
149,32.6471
150,32.4510
151,32.3529
152,32.4510
153,32.9412
154,32.6471
155,32.7451
156,33.0882
157,32.4510
158,32.8431
159,33.1373
160,32.6961
161,33.2843
162,33.3333
163,33.3333
164,33.3333
165,33.2353
166,33.4804
167,33.4804
168,33.8725
169,34.2647
170,34.1667
171,33.9706
172,33.6275
173,33.4314
174,33.4314
175,33.5294
176,33.7745
177,34.2157
178,33.8725
179,33.9706
180,34.5098
181,35.1961
182,35.5392
183,35.9804
184,36.6667
185,36.1275
186,35.3922
187,35.5882
188,35.0490
189,34.9510
190,35.0000
191,35.4412
192,35.5882
193,36.2255
194,37.0098
195,37.0098
196,37.5000
197,38.2843
198,37.9412
199,37.3039
200,36.9608
201,37.9902
202,37.4020
203,37.1078
204,37.0098
205,36.2745
206,36.0294
207,35.7843
208,35.7353
209,35.4902
210,35.1471
211,34.7059
212,33.7745
213,33.1863
214,33.4804
215,33.1373
216,32.5000
217,31.3235
218,31.0294
219,30.7843
220,30.2941
221,29.4118
222,29.5588
223,29.3137
224,29.1176
225,29.0686
226,29.0196
227,29.2647
228,29.2647
229,30.2451
230,30.3431
231,30.2941
232,30.4902
233,31.0294
234,31.2255
235,32.2549
236,32.6471
237,33.5784
238,34.0686
239,34.0196
240,34.1667
241,34.5588
242,35.7843
243,36.9608
244,37.3529
245,37.3039
246,38.0882
247,38.3824
248,38.7745
249,39.0196
250,38.0882
251,38.0392
252,37.5490
253,37.5490
254,38.2353
255,38.0392
256,38.1863
257,38.0882
258,37.6961
259,37.7451
260,37.6471
261,37.4020
262,37.6471
263,37.8922
264,37.8431
265,38.6765
266,38.5784
267,38.5294
268,39.5098
269,39.4608
270,39.3137
271,39.2157
272,39.8039
273,39.5588
274,38.3824
275,37.8431
276,37.8431
277,38.6765
278,38.4804
279,38.7745
280,38.4314
281,38.4804
282,38.5784
283,38.7745
284,38.6275
285,38.8235
286,38.5294
287,37.5000
288,37.1569
289,36.0784
290,35.9804
291,36.2255
292,35.5882
293,34.6078
294,34.7549
295,35.3431
296,35.3431
297,35.0000
298,35.0000
299,35.7843
300,35.8333
301,36.2745
302,36.6176
303,36.7647
304,36.3235
305,36.3725
306,37.2059
307,38.1863
308,38.3824
309,38.4314
310,37.7941
311,37.8431
312,37.7941
313,37.6471
314,37.9902
315,38.4804
316,37.7941
317,37.5490
318,37.2059
319,37.0098
320,36.1275
321,36.9118
322,37.1078
323,36.5686
324,36.9608
325,37.1569
326,37.2059
327,36.8627
328,37.5000
329,37.2549
330,36.7157
331,37.0588
332,36.6667
333,36.3725
334,35.8824
335,36.0294
336,35.5392
337,35.9804
338,36.8137
339,35.6373
340,35.1471
341,35.4902
342,35.7353
343,35.0000
344,35.2941
345,34.6569
346,34.5588
347,34.7549
348,35.6373
349,35.7843
350,35.8333
351,36.1275
352,36.1275
353,35.8333
354,35.7353
355,35.2941
356,35.5392
357,35.7353
358,36.6176
359,36.7647
360,36.2255
361,36.8137
362,37.7941
363,38.2353
364,37.3529
365,37.2059
366,37.1078
367,37.5000
368,37.0098
369,37.7451
370,37.7941
371,38.6275
372,38.0882
373,38.4314
374,39.6078
375,38.7255
376,38.6765
377,38.9706
378,38.3824
379,38.5784
380,38.5294
381,38.1863
382,37.2549
383,37.1569
384,36.8627
385,37.3039
386,37.1078
387,37.0098
388,36.6667
389,36.2745
390,36.7157
391,36.8137
392,36.8137
393,36.6176
394,36.1275
395,36.0294
396,35.0000
397,34.1667
398,34.2647
399,33.7745
400,32.3529
401,33.5294
402,33.4804
403,34.2157
404,33.8725
405,33.8725
406,35.3922
407,35.5882
408,35.6373
409,36.3725
410,37.1569
411,37.5000
412,38.5294
413,38.4314
414,38.4804
415,38.0392
416,38.0392
417,37.2549
418,36.7157
419,37.1569
420,36.5196
421,36.7647
422,36.4706
423,36.0784
424,35.9314
425,35.2941
426,34.8529
427,34.7549
428,34.0196
429,33.7255
430,33.7745
431,33.1863
432,33.2353
433,33.7255
434,33.3824
435,33.4804
436,33.1863
437,33.5294
438,33.9216
439,34.0686
440,34.0686
441,33.7745
442,34.6569
443,33.6275
444,34.0196
445,34.3627
446,34.6569
447,34.4608
448,34.3627
449,34.1667
450,34.3627
451,34.4608
452,35.3431
453,35.8824
454,36.0294
455,36.3725
456,36.9118
457,36.7647
458,37.7941
459,38.6275
460,38.0882
461,37.7451
462,37.7941
463,38.0392
464,38.4314
465,38.6765
466,39.3137
467,38.9216
468,39.4118
469,39.0686
470,39.5098
471,40.4412
472,40.3922
473,40.5392
474,40.5882
475,40.2941
476,40.3922
477,40.5392
478,40.2451
479,40.2451
480,40.0980
481,40.6863
482,40.6863
483,40.3431
484,40.8333
485,40.5882
486,40.3922
487,40.2941
488,40.7843
489,40.8824
490,40.7353
491,40.5882
492,40.3922
493,40.0000
494,40.1471
495,40.1961
496,38.4314
497,37.6471
498,37.5980
499,37.2059
500,35.5882
501,36.2745
502,35.2451
503,35.0980
504,34.6569
505,33.6765
506,33.7255
507,33.4804
508,33.0392
509,33.0392
510,33.3824
511,33.0392
512,32.7941
513,32.4020
514,32.5000
515,32.7941
516,32.2549
517,32.1569
518,32.6961
519,32.2549
520,31.8137
521,32.2059
522,32.0098
523,31.7157
524,32.1569
525,32.8922
526,33.1863
527,32.4510
528,32.5980
529,32.4510
530,32.3039
531,33.0392
532,32.9412
533,33.5294
534,34.0196
535,34.2647
536,35.0980
537,35.4412
538,35.4902
539,35.9804
540,35.8824
541,35.6863
542,36.1275
543,36.0784
544,36.1275
545,36.3725
546,36.2255
547,35.7843
548,35.6863
549,35.6863
550,35.4412
551,35.1961
552,34.4608
553,34.8039
554,35.7353
555,36.7157
556,36.5196
557,36.3235
558,36.6667
559,37.0098
560,37.4510
561,37.7451
562,38.3333
563,38.4804
564,38.3333
565,38.4804
566,39.4608
567,39.1176
568,39.0686
569,39.1667
570,39.0196
571,38.3824
572,38.3333
573,39.0686
574,39.0196
575,39.3137
576,39.3627
577,39.3137
578,39.8039
579,40.1961
580,39.8529
581,40.3431
582,39.7059
583,39.4118
584,40.3431
585,40.4902
586,39.6078
587,39.8529
588,39.8039
589,39.9020
590,39.5098
591,39.7059
592,39.1176
593,39.1667
594,38.6765
595,39.0686
596,38.8725
597,38.4314
598,37.8431
599,37.7941
600,37.0098
601,37.4020
602,37.6961
603,37.5000
604,38.1373
605,37.3529
606,37.1078
607,37.5000
608,37.8431
609,36.6667
610,37.2549
611,37.0098
612,36.1275
613,36.4706
614,36.9608
615,36.8627
616,36.2745
617,36.7157
618,36.7647
619,36.2745
620,36.5686
621,36.3725
622,36.3725
623,36.6667
624,36.5196
625,36.0294
626,36.1275
627,36.3725
628,36.8137
629,36.7157
630,36.7647
631,36.8627
632,36.8137
633,36.3725
634,36.6667
635,36.6667
636,36.9118
637,36.8137
638,36.7647
639,36.2255
640,36.6176
641,37.3039
642,37.5000
643,37.4510
644,37.0588
645,36.7157
646,37.1078
647,37.1569
648,37.5000
649,37.6471
650,37.6961
651,38.1373
652,38.7255
653,38.4314
654,39.1667
655,40.0980
656,40.1961
657,40.2451
658,40.0980
659,39.8039
660,39.3627
661,38.9706
662,38.2843
663,37.5490
664,37.0098
665,36.0784
666,35.9314
667,35.6373
668,35.0980
669,34.7059
670,34.0196
671,34.2647
672,34.2647
673,33.9216
674,34.0196
675,34.5098
676,34.3137
677,34.9020
678,35.3431
679,35.2941
680,35.0000
681,35.0980
682,34.6078
683,35.1471
684,36.3235
685,36.2255
686,35.4902
687,35.3922
688,35.4412
689,35.8333
690,36.2255
691,36.0784
692,36.5196
693,36.7647
694,36.0784
695,36.1275
696,36.1275
697,35.9804
698,35.9804
699,35.7843
700,35.1961
701,35.0490
702,35.1961
703,35.0490
704,35.0980
705,35.1961
706,35.2451
707,35.3922
708,35.0000
709,35.4412
710,35.9314
711,35.9314
712,35.5392
713,36.2255
714,36.1275
715,36.3725
716,35.9804
717,35.8333
718,36.1275
719,36.3235
720,36.6667
721,36.8627
722,36.9608
723,37.0588
724,37.1569
725,36.7157
726,37.5000
727,37.2549
728,36.3725
729,35.9804
730,36.3235
731,35.8333
732,36.2745
733,36.3725
734,36.5196
735,36.2255
736,36.3235
737,36.5686
738,36.3235
739,35.9314
740,35.9804
741,35.7353
742,35.8333
743,35.6373
744,35.7353
745,35.7353
746,36.3235
747,36.8137
748,36.9118
749,36.9608
750,36.5686
751,37.2549
752,37.2549
753,37.2059
754,37.9412
755,37.9902
756,37.8922
757,38.0882
758,38.3824
759,37.9412
760,37.5000
761,37.3529
762,38.2353
763,38.0392
764,37.6471
765,38.1373
766,39.0686
767,38.9216
768,38.8725
769,39.4118
770,39.6078
771,40.0980
772,40.3922
773,41.0294
774,40.7353
775,41.0784
776,41.6176
777,41.3235
778,41.8137
779,42.3529
780,42.5000
781,42.6471
782,43.2353
783,43.3824
784,42.5490
785,42.6471
786,42.4020
787,42.5980
788,42.2549
789,42.0588
790,42.6471
791,42.6961
792,42.4020
793,42.3039
794,42.5000
795,41.9608
796,41.7647
797,41.6667
798,41.4706
799,41.1275
800,39.9020
801,40.7353
802,39.9020
803,39.6078
804,40.3922
805,39.8039
806,39.6569
807,39.6078
808,39.2647
809,38.9706
810,39.4118
811,39.5098
812,38.9216
813,39.2157
814,39.3137
815,39.8529
816,40.4412
817,40.6373
818,40.6373
819,40.2941
820,40.6373
821,40.7843
822,40.7843
823,41.5686
824,41.1275
825,41.9608
826,42.1078
827,42.2549
828,42.2549
829,42.2549
830,41.7157
831,41.3725
832,41.2745
833,40.8333
834,40.0490
835,40.5392
836,40.6863
837,40.7843
838,40.8333
839,40.4902
840,40.3922
841,40.2451
842,39.2647
843,39.0686
844,39.8529
845,39.6569
846,40.7353
847,40.7353
848,40.3922
849,40.8824
850,40.5392
851,39.9510
852,39.8529
853,39.6078
854,39.5588
855,39.2157
856,38.7745
857,38.5294
858,38.8725
859,39.3627
860,39.4118
861,39.8039
862,39.0686
863,38.8235
864,38.2353
865,38.0392
866,38.3333
867,38.9706
868,38.5294
869,38.8725
870,38.6275
871,38.5294
872,38.1863
873,38.1373
874,39.0196
875,38.9216
876,39.3137
877,39.8529
878,39.7059
879,39.9020
880,39.7059
881,39.4608
882,39.6078
883,38.8725
884,39.2647
885,39.2647
886,39.2647
887,38.9706
888,39.0196
889,38.6275
890,38.5784
891,38.9706
892,38.6765
893,38.9706
894,39.5098
895,39.3627
896,38.8725
897,39.0196
898,39.0686
899,38.7255
900,38.9216
901,39.5098
902,40.5392
903,41.2255
904,40.9314
905,41.6667
906,41.7647
907,41.3725
908,41.5196
909,41.2745
910,41.3235
911,40.7843
912,40.9314
913,40.8333
914,39.6569
915,39.1176
916,38.9706
917,38.3824
918,38.3333
919,37.8922
920,36.7647
921,36.9608
922,36.7647
923,36.8627
924,37.4510
925,36.5686
926,36.2745
927,36.3725
928,36.1765
929,36.1275
930,36.2745
931,36.5686
932,36.8627
933,37.4510
934,37.0588
935,37.6961
936,38.1373
937,37.9412
938,38.1373
939,37.9902
940,36.9608
941,36.9118
942,37.2549
943,37.0098
944,36.8137
945,37.3529
946,37.4510
947,37.7451
948,37.8431
949,37.3039
950,37.3039
951,37.8922
952,37.8431
953,37.7451
954,37.8431
955,38.2843
956,37.6471
957,37.2059
958,36.9608
959,36.8137
960,35.8824
961,36.5196
962,36.2255
963,36.3235
964,36.2745
965,36.0784
966,35.8333
967,35.8333
968,35.6373
969,35.5882
970,35.0490
971,35.3431
972,35.0490
973,34.7549
974,34.8039
975,35.3431
976,34.9020
977,34.4118
978,33.9706
979,33.3824
980,32.3039
981,31.7647
982,32.3039
983,32.0098
984,30.8333
985,30.7843
986,30.8333
987,30.8333
988,30.4412
989,30.0000
990,29.6569
991,27.5980
992,27.7941
993,27.5490
994,25.4412
995,24.8283
996,24.6063
997,20.4988
998,20.2147
999,0.0000
